id,alpha_1,alpha_2,alpha_3,alpha_4
if1_hh,0.6721536890943833,0.19849928806994668,0.14783089950775166,0.14505238643260535
if1_lh,0.15172187339185547,0.13979193242973584,0.15271420404715966,0.35091384263209346
if1_u-Lh,0.36793735024594465,0.14982174189406713,0.14665431141391536,0.19854265696840612
if1_uh,0.48695343077924086,0.2072608070241522,0.1739384526699536,0.19948981598020626
if2_hl,0.8174858997280471,0.3479113502562857,0.15259787769579997,0.16313625642334417
if2_ll,0.2719240168288129,0.2888002932381869,0.2082537880618858,0.33035790637468376
if2_u-Ll,0.3969935409544316,0.28730759477303697,0.18857109401463776,0.209912421837871
if2_ul,0.4823883929246312,0.26630761356061167,0.15545733868405542,0.23179363705941117
independent_hh,0.48530762907219577,0.17088082561601367,0.23086053015251254,0.11640611928128113
independent_hl,0.34083487509345756,0.2460991865288476,0.14950641739316037,0.11866985288435278
independent_ll,0.14504503728433604,0.17992808485067874,0.33675202073621247,0.36187400580653917
independent_uh,0.4051254610714071,0.2096130031339678,0.3625282199623324,0.161788260678437
independent_ul,0.3088975286132355,0.4805267932325642,0.2542026926858686,0.2752427221761438
