"id","prolific_id","bg","b","g","none","p_a","p_c","p_na","p_nc","p_c_given_a","p_c_given_na","p_a_given_c","p_a_given_nc","p_nc_given_a","p_nc_given_na","p_na_given_c","p_na_given_nc","p_likely_a","p_likely_na","p_likely_c","p_likely_nc"
"independent_uh","5b0c690b444cef0001ca5904",0.30999976000096,0.12000051999792,0.51999892000432,0.0500007999968,0.43000027999888,0.82999868000528,0.56999972000112,0.17000131999472,0.720929204980442,0.912279255160508,0.373494280736673,0.705879930824343,0.279070795019558,0.0877207448394918,0.626505719263327,0.294120069175657,0.43000027999888,0.56999972000112,0.82999868000528,0.17000131999472
"if2_ll","5b0c690b444cef0001ca5904",9.99996000016e-07,9.99996000016e-07,9.99996000016e-07,0.999997000012,1.999992000032e-06,1.999992000032e-06,0.999998000008,0.999998000008,0.5,9.99998000004e-07,0.5,9.99998000004e-07,0.5,0.999999000002,0.5,0.999999000002,1.999992000032e-06,0.999998000008,1.999992000032e-06,0.999998000008
"independent_ll","5b0c690b444cef0001ca5904",9.99996000016e-07,9.99996000016e-07,0.999997000012,9.99996000016e-07,1.999992000032e-06,0.999998000008,0.999998000008,1.999992000032e-06,0.5,0.999999000002,9.99998000004e-07,0.5,0.5,9.99998000004e-07,0.999999000002,0.5,1.999992000032e-06,0.999998000008,0.999998000008,1.999992000032e-06
"if1_uh","5b0c690b444cef0001ca5904",0.3499996000016,0.32999968000128,9.99996000016e-07,0.31999972000112,0.67999928000288,0.3500005999976,0.32000071999712,0.6499994000024,0.514705839100473,3.12498046887207e-06,0.999997142873469,0.507692284023741,0.485294160899527,0.999996875019531,2.85712653070554e-06,0.492307715976258,0.67999928000288,0.32000071999712,0.3500005999976,0.6499994000024
"independent_hl","5b0c690b444cef0001ca5904",9.99996000016e-07,0.999997000012,9.99996000016e-07,9.99996000016e-07,0.999998000008,1.999992000032e-06,1.999992000032e-06,0.999998000008,9.99998000004e-07,0.5,0.5,0.999999000002,0.999999000002,0.5,0.5,9.99998000004e-07,0.999998000008,1.999992000032e-06,1.999992000032e-06,0.999998000008
"if2_hl","5b0c690b444cef0001ca5904",0.19000023999904,0.6999982000072,9.99996000016e-07,0.11000055999776,0.88999844000624,0.19000123999504,0.11000155999376,0.80999876000496,0.213483789924068,9.0907438046581e-06,0.999994736897506,0.864196631613255,0.786516210075932,0.999990909256195,5.26310249365796e-06,0.135803368386745,0.88999844000624,0.11000155999376,0.19000123999504,0.80999876000496
"if1_u-Lh","5b0c690b444cef0001ca5904",0.32999968000128,0.18000027999888,9.99996000016e-07,0.48999904000384,0.50999996000016,0.33000067999728,0.49000003999984,0.66999932000272,0.647058246830405,2.04080799670205e-06,0.999996969715335,0.268657406992815,0.352941753169595,0.999997959192003,3.03028466494143e-06,0.731342593007185,0.50999996000016,0.49000003999984,0.33000067999728,0.66999932000272
"independent_ul","5b0c690b444cef0001ca5904",0.1000005999976,0.16000035999856,0.22000011999952,0.51999892000432,0.26000095999616,0.32000071999712,0.73999904000384,0.67999928000288,0.384616272182522,0.297297845140959,0.312501171867676,0.235294896191482,0.615383727817478,0.702702154859041,0.687498828132324,0.764705103808518,0.26000095999616,0.73999904000384,0.32000071999712,0.67999928000288
"if1_lh","5b0c690b444cef0001ca5904",9.99996000016e-07,9.99996000016e-07,9.99996000016e-07,0.999997000012,1.999992000032e-06,1.999992000032e-06,0.999998000008,0.999998000008,0.5,9.99998000004e-07,0.5,9.99998000004e-07,0.5,0.999999000002,0.5,0.999999000002,1.999992000032e-06,0.999998000008,1.999992000032e-06,0.999998000008
"if2_u-Ll","5b0c690b444cef0001ca5904",9.99996000016e-07,0.72999808000768,0.06000075999696,0.21000015999936,0.72999908000368,0.06000175999296,0.27000091999632,0.93999824000704,1.36985926065956e-06,0.222224279820149,1.6666111129629e-05,0.776595156180519,0.999998630140739,0.777775720179851,0.99998333388887,0.223404843819481,0.72999908000368,0.27000091999632,0.06000175999296,0.93999824000704
"independent_hh","5b0c690b444cef0001ca5904",9.99996000016e-07,9.99996000016e-07,0.999997000012,9.99996000016e-07,1.999992000032e-06,0.999998000008,0.999998000008,1.999992000032e-06,0.5,0.999999000002,9.99998000004e-07,0.5,0.5,9.99998000004e-07,0.999999000002,0.5,1.999992000032e-06,0.999998000008,0.999998000008,1.999992000032e-06
"if2_ll","5f354e9b80fd884dda24535b",0.17000031999872,0.16000035999856,0.16000035999856,0.50999896000416,0.33000067999728,0.33000067999728,0.66999932000272,0.66999932000272,0.515151423324707,0.238806749830597,0.515151423324707,0.238806749830597,0.484848576675293,0.761193250169403,0.484848576675293,0.761193250169403,0.33000067999728,0.66999932000272,0.33000067999728,0.66999932000272
"if1_u-Lh","5f354e9b80fd884dda24535b",0.499999000004,9.99996000016e-07,9.99996000016e-07,0.499999000004,0.5,0.5,0.5,0.5,0.999998000008,1.999992000032e-06,0.999998000008,1.999992000032e-06,1.999992000032e-06,0.999998000008,1.999992000032e-06,0.999998000008,0.5,0.5,0.5,0.5
"independent_hl","5f354e9b80fd884dda24535b",0.61999852000592,0.37999948000208,9.99996000016e-07,9.99996000016e-07,0.999998000008,0.61999952000192,1.999992000032e-06,0.38000047999808,0.61999976000048,0.5,0.999998387101977,0.999997368434903,0.38000023999952,0.5,1.6128980229096e-06,2.63156509702581e-06,0.999998000008,1.999992000032e-06,0.61999952000192,0.38000047999808
"if1_hh","5f354e9b80fd884dda24535b",0.999997000012,9.99996000016e-07,9.99996000016e-07,9.99996000016e-07,0.999998000008,0.999998000008,1.999992000032e-06,1.999992000032e-06,0.999999000002,0.5,0.999999000002,0.5,9.99998000004e-07,0.5,9.99998000004e-07,0.5,0.999998000008,1.999992000032e-06,0.999998000008,1.999992000032e-06
"independent_hh","5f354e9b80fd884dda24535b",0.999997000012,9.99996000016e-07,9.99996000016e-07,9.99996000016e-07,0.999998000008,0.999998000008,1.999992000032e-06,1.999992000032e-06,0.999999000002,0.5,0.999999000002,0.5,9.99998000004e-07,0.5,9.99998000004e-07,0.5,0.999998000008,1.999992000032e-06,0.999998000008,1.999992000032e-06
"if2_u-Ll","5f354e9b80fd884dda24535b",0.499999000004,9.99996000016e-07,0.25,0.25,0.5,0.749999000004,0.5,0.250000999996,0.999998000008,0.5,0.666666222223407,3.999968000256e-06,1.999992000032e-06,0.5,0.333333777776593,0.999996000032,0.5,0.5,0.749999000004,0.250000999996
"independent_uh","5f354e9b80fd884dda24535b",0.6999982000072,9.99996000016e-07,0.2999998000008,9.99996000016e-07,0.6999992000032,0.999998000008,0.3000007999968,1.999992000032e-06,0.999998571432653,0.999996666688889,0.6999996000008,0.5,1.42856734695044e-06,3.33331111125926e-06,0.3000003999992,0.5,0.6999992000032,0.3000007999968,0.999998000008,1.999992000032e-06
"if1_lh","5f354e9b80fd884dda24535b",9.99996000016e-07,9.99996000016e-07,9.99996000016e-07,0.999997000012,1.999992000032e-06,1.999992000032e-06,0.999998000008,0.999998000008,0.5,9.99998000004e-07,0.5,9.99998000004e-07,0.5,0.999999000002,0.5,0.999999000002,1.999992000032e-06,0.999998000008,1.999992000032e-06,0.999998000008
"if2_ul","5f354e9b80fd884dda24535b",0.55999876000496,9.99996000016e-07,0.06000075999696,0.37999948000208,0.55999976000096,0.61999952000192,0.44000023999904,0.38000047999808,0.999998214292092,0.136365289248685,0.903224505727401,2.63156509702581e-06,1.78570790818604e-06,0.863634710751315,0.0967754942725991,0.999997368434903,0.55999976000096,0.44000023999904,0.61999952000192,0.38000047999808
